"Country","Region","Year","GDP","Score"
Comoros,null region,2021,4.354093010620757,4.162358879005921
Canada,null region,2015,53.97266742558509,9.324413046267717
Nigeria,null region,2015,22.087819449556484,3.5936340649284664
Poland,Central and Eastern Europe,2018,16.60722259138701,11.75932710692192
Belize,Latin America and Caribbean,2018,11.473382885430278,4.548153772292747
Thailand,Southeastern Asia,2016,74.80990866389494,0.2592385749528486
Chile,null region,2018,35.54210454437552,5.781641215739139
Somalia,Sub-Saharan Africa,2016,0.0,3.6935537460960797
Denmark,Western Europe,2021,3.4523754894713004,7.047146207052646
Libya,null region,2020,1.3491887439191976,5.571745809240805
Saudi Arabia,null region,2016,84.1054639954846,0.7245704620716925
Sri Lanka,Southern Asia,2017,46.13908200388933,3.5445022616498902
Belarus,null region,2015,20.321863739436118,9.87473411717218
Mexico,Latin America and Caribbean,2021,15.303565250831834,17.278055062500343
Lesotho,Sub-Saharan Africa,2015,5.1758727712423775,2.0429436957087703
Kyrgyzstan,Central and Eastern Europe,2020,10.726200579358117,7.849396150533423
Bhutan,Southern Asia,2018,26.648095439782264,3.1674427316031575
Togo,Sub-Saharan Africa,2017,9.910848607492873,1.616828523703321
Russia,null region,2019,0.0054927363687971836,2.2078327307538026
Jordan,null region,2021,34.062215922401776,2.826795985198854
Denmark,Western Europe,2020,37.55030477402716,6.896941379112026
South Africa,Sub-Saharan Africa,2017,32.324540233099334,5.6505072450629505
Brazil,Latin America and Caribbean,2016,10.063340232325137,5.70453209266628
Philippines,null region,2018,21.294014763985487,4.916532836553498
Ivory Coast,Sub-Saharan Africa,2018,32.15025375057202,4.057946073757247
Italy,null region,2021,12.839788090521047,9.070105967448118
Albania,Central and Eastern Europe,2021,28.260518160632447,10.53905892816539
Madagascar,Sub-Saharan Africa,2015,3.08646144765879,4.678372026996277
Namibia,Sub-Saharan Africa,2017,45.456023797571234,4.914406829609215
Zimbabwe,Sub-Saharan Africa,2016,2.5592654957342833,2.42571778981153
United Kingdom,Western Europe,2018,12.119643586404965,4.592620550120088
Ethiopia,null region,2018,8.995463628111517,6.309646970799866
South Korea,Eastern Asia,2015,31.40674242778514,5.949976021006403
Zambia,Sub-Saharan Africa,2018,20.628003837705112,5.717788216414931
Paraguay,Latin America and Caribbean,2019,25.354534666816182,6.618958302802949
Chad,Sub-Saharan Africa,2018,8.62888250069205,3.964883015567642
Kuwait,Middle East and Northern Africa,2020,34.946076145843975,8.512718953553478
Laos,Southeastern Asia,2016,13.536785141460264,4.206169438452024
Sri Lanka,Southern Asia,2016,28.82575937490737,5.595768203177704
Ukraine,Central and Eastern Europe,2020,5.200877377619064,13.563646984727887
Brazil,Latin America and Caribbean,2018,40.09589858722131,7.83960681773087
Maldives,null region,2020,31.37427955274539,4.82917206837907
Algeria,null region,2017,10.657663172284435,7.682361431436307
Albania,Central and Eastern Europe,2021,18.919256657641107,7.486762929931556
Oman,null region,2015,47.54675925650597,1.5389068552754426
Zambia,Sub-Saharan Africa,2015,13.366606377235712,3.3308013691600467
Italy,null region,2017,19.50555878772613,2.5397749997014913
Cambodia,Southeastern Asia,2015,13.980517626600989,3.5130675262887125
Niger,Sub-Saharan Africa,2016,0.17452681743065945,6.039903784155716
Tanzania,Sub-Saharan Africa,2016,4.4599166613819285,6.062357283734211
Japan,Eastern Asia,2019,40.065627250073526,1.364562598617442
Bolivia,Latin America and Caribbean,2021,12.22546714164505,7.506800560958688
Czech Republic,Central and Eastern Europe,2020,23.71237734572992,8.751227334362866
Iceland,Western Europe,2015,13.336946720853508,5.5426425958514605
Tunisia,Middle East and Northern Africa,2015,8.611561640611516,2.058112709665659
Peru,Latin America and Caribbean,2021,13.035937357084626,5.916796993378169
Indonesia,Southeastern Asia,2020,23.78505732474757,7.638972898472204
Lesotho,Sub-Saharan Africa,2020,23.6274568053793,4.00611992012418
United Arab Emirates,Middle East and Northern Africa,2019,54.12629814872559,12.762242114468211
Costa Rica,Latin America and Caribbean,2018,8.764851468949605,1.4002182642158054
Taiwan,Eastern Asia,2016,30.41496373411599,6.378297981149294
Afghanistan,null region,2019,7.168875027942158,2.4535232687549278
Macedonia,Central and Eastern Europe,2016,37.17774229387112,1.1141303748708542
Vietnam,Southeastern Asia,2016,13.333060412299647,10.257056594213875
Burkina Faso,Sub-Saharan Africa,2015,5.58020553373279,3.8032414253969495
Zambia,Sub-Saharan Africa,2016,14.67953929101413,7.628233963793602
Uzbekistan,Central and Eastern Europe,2019,13.944866619959269,2.003334680678396
Trinidad and Tobago,null region,2017,15.050158127774305,7.662598906002299
Canada,null region,2020,21.71598296273776,9.652875840534538
Syria,Middle East and Northern Africa,2018,15.573289084858628,2.1809634861599516
Lithuania,null region,2016,38.33347714250063,3.071590795429294
Ireland,Western Europe,2019,52.77929569351952,9.445103401467058
Dominican Republic,null region,2020,6.44301498408713,9.373474172232035
Bangladesh,null region,2017,19.992950242870595,1.1419328978756373
Congo (Kinshasa),Sub-Saharan Africa,2019,4.3863247504286935,6.946495611361303
Brazil,Latin America and Caribbean,2021,18.70895724092586,11.67205263063658
Nigeria,null region,2021,8.971876401901904,0.24899335867488961
Armenia,Central and Eastern Europe,2015,21.47280400515741,7.483156300569534
Iraq,Middle East and Northern Africa,2016,23.951121217536755,0.411238946122075
Egypt,null region,2021,17.40196176272022,8.951903209458363
Kuwait,Middle East and Northern Africa,2018,17.431742101820536,5.9479989808615406
South Africa,Sub-Saharan Africa,2020,21.192418498163953,0.4124040527861914
Costa Rica,Latin America and Caribbean,2015,27.19517220042498,4.974606018351746
Bosnia and Herzegovina,Central and Eastern Europe,2017,11.825107188315528,5.561704864547072
Russia,null region,2018,28.316941043411486,1.5734143508777854
Jamaica,Latin America and Caribbean,2016,20.39271092629604,8.530246534244897
Iran,Middle East and Northern Africa,2020,4.2124007926191975,0.12542234043347705
Russia,null region,2016,35.19288180576817,1.9264805354609524
Niger,Sub-Saharan Africa,2021,6.904592968792169,1.527719429760667
Kyrgyzstan,Central and Eastern Europe,2018,16.808636628193756,1.8700653000950718
Botswana,null region,2015,42.10198667342098,3.2929797398871186
Myanmar,Southeastern Asia,2015,6.195995401084201,5.592860815105638
Chile,null region,2019,26.63766339026047,4.703853988803082
Burundi,Sub-Saharan Africa,2019,1.0881618157057749,5.886031082103045
Greece,null region,2020,28.267166668916612,0.9176585074433353
Colombia,Latin America and Caribbean,2019,25.438399626243218,3.4246095118910396
Bangladesh,null region,2015,9.571274648416585,1.222139959048135
Kosovo,Central and Eastern Europe,2017,15.631371280221533,8.887422249042732
Taiwan Province of China,-,2017,31.240336384639797,11.030916068751079
Colombia,Latin America and Caribbean,2017,54.92879021366062,8.712477708890807
Turkmenistan,Central and Eastern Europe,2019,16.909628117455274,8.367543077061196
Iceland,Western Europe,2019,31.327962629250035,12.22448796648863
Czech Republic,Central and Eastern Europe,2018,33.11495405265156,9.85760804209608
United Arab Emirates,Middle East and Northern Africa,2021,52.545050888200265,0.13953535252738877
New Zealand,Australia and New Zealand,2021,21.68876683877879,3.1297499208068427
Dominican Republic,null region,2016,32.19139396886041,5.868928241144857
Finland,null region,2015,70.4254541979849,6.4279791720842585
Ecuador,Latin America and Caribbean,2020,19.890812794062356,6.767157510200879
Guatemala,Latin America and Caribbean,2015,12.488964939933057,5.099215147742486
Cyprus,Western Europe,2019,35.087154413805436,11.611504220899581
Croatia,Central and Eastern Europe,2020,41.01150743341413,0.619117485101255
Czech Republic,Central and Eastern Europe,2021,63.84058950416461,5.791732698638297
United Arab Emirates,Middle East and Northern Africa,2016,25.654521420959085,0.21174207625967928
France,Western Europe,2021,7.950266664072825,11.032336761784245
Cyprus,Western Europe,2021,22.393786850284613,15.654801070068325
Senegal,Sub-Saharan Africa,2021,10.322742058762772,3.111813710571406
Lebanon,null region,2016,24.962255521698427,6.876714702332672
Qatar,null region,2019,37.48752932791517,13.918003011760097
Sri Lanka,Southern Asia,2019,23.831480007343696,4.688068874638619
Myanmar,Southeastern Asia,2020,16.81809284146729,0.715535752464726
Brazil,Latin America and Caribbean,2017,24.1347678100791,8.255380345963973
United Arab Emirates,Middle East and Northern Africa,2016,36.64776487154381,8.30672610701545
Ukraine,Central and Eastern Europe,2021,26.351516076987515,4.100117758481695
Algeria,null region,2018,57.8725099076278,5.5286638195652245
Turkey,Middle East and Northern Africa,2015,52.83604240037797,5.053439945819814
United Arab Emirates,Middle East and Northern Africa,2021,33.118664373857875,12.137846760246033
Slovenia,Central and Eastern Europe,2019,67.12783152803948,8.502044122783333
Laos,Southeastern Asia,2021,19.42881213844947,3.4135104576078463
Mexico,Latin America and Caribbean,2017,43.733294654476346,0.18221254858329408
Iran,Middle East and Northern Africa,2021,10.244482519099801,4.649880403255413
Cameroon,null region,2018,17.175417979448152,6.804732923430671
Georgia,Central and Eastern Europe,2017,19.921822493773796,4.993458647501785
Honduras,null region,2019,7.819945501602514,6.4538077882911935
Ireland,Western Europe,2017,5.04644980595651,8.934693080821043
Trinidad and Tobago,null region,2015,51.9115335642523,5.6311358163921765
Costa Rica,Latin America and Caribbean,2018,43.43967085816653,13.897631679256332
Northern Cyprus,-,2018,43.70738831430096,7.495000836265286
Niger,Sub-Saharan Africa,2015,1.100417863032533,3.459666362483218
Kenya,null region,2017,14.500622612709803,6.399426344643227
Panama,Latin America and Caribbean,2015,32.524223802728436,2.3910521610326656
Luxembourg,Western Europe,2015,31.897119055610286,6.962784807726694
Luxembourg,Western Europe,2016,45.6321527162287,4.94285573060581
Cameroon,null region,2020,15.948694795195017,5.051267004586981
Mexico,Latin America and Caribbean,2015,16.13974387464044,0.7408501154028834
Spain,null region,2019,1.158131969988496,3.430049203662728
Italy,null region,2016,93.99215445728099,7.360385432009687
Kyrgyzstan,Central and Eastern Europe,2015,17.024335057048788,3.2955084008581768
Angola,Sub-Saharan Africa,2017,28.582137009487358,0.5848729949173859
Maldives,null region,2021,14.695489232796481,5.816050990437389
Cameroon,null region,2015,9.460011817934472,4.362764084945071
Australia,Australia and New Zealand,2020,34.13153538576187,13.192591679340946
Malawi,Sub-Saharan Africa,2018,8.015808454533598,3.878579623956175
Lithuania,null region,2020,85.70739953538279,6.973986698606099
Egypt,null region,2020,7.940845607126987,4.976215171359355
Cambodia,Southeastern Asia,2015,12.563195190008349,4.9621890798580335
Senegal,Sub-Saharan Africa,2019,11.026397488468973,4.796479360998736
Turkey,Middle East and Northern Africa,2017,4.04967610066566,8.463678326756886
Mongolia,Eastern Asia,2016,20.503607288721422,4.904787681244269
Burundi,Sub-Saharan Africa,2021,0.0,1.4263655379039126
Slovakia,null region,2015,32.07140638666212,8.03137499926401
Guinea,null region,2018,1.7307754442011463,7.32862782600459
Japan,Eastern Asia,2017,3.5257520425411513,1.553572402914599
Sri Lanka,Southern Asia,2020,25.28911872354036,1.997546215041761
China,Eastern Asia,2020,41.64601364842003,3.4268392365676057
Congo (Kinshasa),Sub-Saharan Africa,2016,1.0866288550501257,6.278672644147552
Guatemala,Latin America and Caribbean,2020,1.4512709145466025,1.4715139208248045
Greece,null region,2021,30.202802555364016,13.485026213608203
Nigeria,null region,2016,21.480383228732805,5.535295482340561
Lithuania,null region,2021,26.499578781931,8.130054891416416
Tanzania,Sub-Saharan Africa,2015,10.29998302512296,2.1964281110667234
Ireland,Western Europe,2017,93.19786700346569,5.188035026398752
Peru,Latin America and Caribbean,2020,17.36131703587327,3.7273257086386797
Spain,null region,2021,26.846679031974215,3.0868721617424164
Afghanistan,null region,2021,10.528349154827053,0.3654410160107107
Australia,Australia and New Zealand,2019,47.89299699259849,7.538623500344347
Somalia,Sub-Saharan Africa,2016,0.0,9.034164694019125
El Salvador,null region,2015,28.962152763520326,6.181427179302342
Lesotho,Sub-Saharan Africa,2021,11.347279363992364,3.996928957265943
Germany,Western Europe,2015,83.23063419953243,1.898465776479988
Myanmar,Southeastern Asia,2021,18.85721112793191,6.980232493036787
Yemen,Middle East and Northern Africa,2021,6.1781742047036285,0.6204690932422574
Croatia,Central and Eastern Europe,2018,50.2889228789526,1.1916914493124584
Albania,Central and Eastern Europe,2020,7.675835396750747,9.330474622850454
Lithuania,null region,2015,23.04297721284163,6.236032584599156
Comoros,null region,2019,10.566473780685065,0.2986350886836632
Qatar,null region,2015,54.35752319905001,1.3408733971480393
Morocco,Middle East and Northern Africa,2021,8.636694804458081,6.696290878892825
Rwanda,Sub-Saharan Africa,2018,2.1141531615375815,2.254572853457754
Germany,Western Europe,2017,0.5551153730958354,11.777865341187487
South Africa,Sub-Saharan Africa,2020,18.285825586751187,4.6219639304450135
Benin,Sub-Saharan Africa,2017,12.51870221744714,3.104244164709019
Poland,Central and Eastern Europe,2020,42.42717100074234,8.055316960581866
Canada,null region,2021,21.569608615855135,8.730814116137482
Kosovo,Central and Eastern Europe,2016,47.11635969795196,6.624031572074813
Mauritius,Sub-Saharan Africa,2016,6.442933929853696,2.6812812150428225
Botswana,null region,2018,20.70633188552216,4.4824893086989395
Tajikistan,null region,2016,29.88035157796736,6.78270071672934
Bolivia,Latin America and Caribbean,2020,24.058664987165393,2.648553757054176
Turkey,Middle East and Northern Africa,2016,36.51884623860475,9.799931223994664
El Salvador,null region,2016,18.99845023265866,3.9373025324156985
Nicaragua,Latin America and Caribbean,2018,21.638996494830216,10.678298293397875
United States,North America,2019,64.87737217517903,5.39185273227802
Haiti,Latin America and Caribbean,2021,7.61566215337195,1.6606391299538288
Kenya,null region,2018,27.19808629431812,3.495078698830424
United Kingdom,Western Europe,2020,28.975453127487103,9.079530624391687
Nepal,Southern Asia,2018,0.6307234693624139,4.84624189407699
United States,North America,2018,43.92642511132759,2.328839167280866
Lebanon,null region,2020,24.357313396664722,6.909646815439632
Rwanda,Sub-Saharan Africa,2016,6.648750786648249,3.758540612665136
India,null region,2017,21.660073822234335,6.72712167036216
Paraguay,Latin America and Caribbean,2016,26.678675555342505,5.141261188055148
Nicaragua,Latin America and Caribbean,2015,2.4113316381161716,8.752005865625259
Bangladesh,null region,2021,20.481260902246962,1.3965018575435655
Philippines,null region,2017,17.237021040167924,7.015306081550968
Chile,null region,2018,11.534228571736481,8.145910886830478
Tanzania,Sub-Saharan Africa,2016,20.036247972382174,3.2369183293559116
Paraguay,Latin America and Caribbean,2020,24.638912259031848,9.100760622318626
Rwanda,Sub-Saharan Africa,2015,2.7933087921076045,1.9410007426132228
Czech Republic,Central and Eastern Europe,2020,27.985738454066663,6.139101309924857
Trinidad and Tobago,null region,2016,40.12895912934101,2.039327752073161
Taiwan Province of China,-,2021,14.325125349470069,2.1418960037814534
Guatemala,Latin America and Caribbean,2019,12.069528637295852,0.16202972014596867
Bangladesh,null region,2017,8.388683589050135,5.6812492449116085
Israel,null region,2019,29.370200185430516,9.0833659639815
Tajikistan,null region,2018,15.196123084133529,1.964665080511905
Ivory Coast,Sub-Saharan Africa,2016,3.7311967639726498,6.265906636257087
South Korea,Eastern Asia,2018,27.960086335777476,11.214921240488781
Thailand,Southeastern Asia,2015,33.64054271327119,0.4553161497357165
Moldova,Central and Eastern Europe,2020,17.902294108471157,9.114103412476302
Mozambique,null region,2017,6.705062427239555,0.7688025684385709
Jordan,null region,2018,17.358834892922822,5.680676103052745
Trinidad and Tobago,null region,2016,42.36860894496644,7.55191593351791
Senegal,Sub-Saharan Africa,2021,18.870400989417295,2.5176220500532387
Panama,Latin America and Caribbean,2018,21.816094519009784,6.638778701207516
Peru,Latin America and Caribbean,2015,22.404847145663435,0.9609229947776201
Afghanistan,null region,2018,6.835066563756443,2.2260876876549642
Egypt,null region,2016,22.505081589877932,5.140237328068216
Nigeria,null region,2021,26.331298224855267,2.908060962022573
Bahrain,Middle East and Northern Africa,2021,38.63194344146331,2.102345706532644
Ghana,Sub-Saharan Africa,2020,33.21500253800879,6.616665686499027
Afghanistan,null region,2021,11.11580554037348,3.745356688819422
El Salvador,null region,2017,29.47764447137144,3.723262287971508
Georgia,Central and Eastern Europe,2019,30.82057162019146,2.755308683552797
Czech Republic,Central and Eastern Europe,2018,43.397273075089196,9.02399496750885
Saudi Arabia,null region,2020,4.464194131110964,8.537228706650819
Libya,null region,2021,28.79883906516076,7.8268624896795345
Azerbaijan,Central and Eastern Europe,2019,52.441588887669255,9.321540495500187
Bhutan,Southern Asia,2019,13.55221830258262,1.4374689067815247
Romania,Central and Eastern Europe,2017,22.272667503257942,5.788861279441583
Czech Republic,Central and Eastern Europe,2019,0.4717403565657944,2.850687624169234
Lebanon,null region,2016,55.55104568414581,8.807863716852806
Nigeria,null region,2015,10.895971155090535,9.24684685099652
Uganda,null region,2019,19.09347139020392,4.056818325977294
Singapore,Southeastern Asia,2021,39.92881503091052,5.750715775071402
Sudan,Sub-Saharan Africa,2017,33.24997128448214,0.5249481141157885
Tajikistan,null region,2016,6.919965789094291,5.355996633400954
Malawi,Sub-Saharan Africa,2018,1.356278150669988,3.4046113397800855
Armenia,Central and Eastern Europe,2019,29.760129065085795,3.2726616619682645
Greece,null region,2018,44.069187043892654,2.487474547820227
Yemen,Middle East and Northern Africa,2015,26.445147080809722,4.3655575885916065
Sierra Leone,Sub-Saharan Africa,2015,7.1227046718109905,0.9601274502567373
Lithuania,null region,2021,52.52401838271739,0.4913886686777724
United Kingdom,Western Europe,2020,33.319355486710705,8.730301507239561
Niger,Sub-Saharan Africa,2018,3.9385785947753047,6.5002148441579015
Benin,Sub-Saharan Africa,2018,17.900418652507785,8.58072108605361
Ukraine,Central and Eastern Europe,2016,36.61152332509337,0.5973708851338969
Nepal,Southern Asia,2019,11.602333634680251,0.34914088476912547
Russia,null region,2020,54.509748547917994,11.035939889948565
United Kingdom,Western Europe,2019,34.48088321840858,4.753382826428644
Ukraine,Central and Eastern Europe,2020,16.688167392885713,1.1766495861789685
Turkey,Middle East and Northern Africa,2015,28.172564946362776,7.571314233690212
Romania,Central and Eastern Europe,2016,26.469923533941063,2.1780306055808136
Ethiopia,null region,2020,1.8456992241520471,2.600262115837458
Lebanon,null region,2018,1.0963294267123314,4.100123536499337
Iceland,Western Europe,2020,31.10667243815101,14.474640828613781
El Salvador,null region,2018,3.59557488324457,1.1606777098977001
Chad,Sub-Saharan Africa,2015,12.191872160159274,5.283731190534399
Switzerland,Western Europe,2020,12.633443199241324,7.6981790461804565
Iceland,Western Europe,2020,42.31093785006365,2.2066345395733546
Mali,Sub-Saharan Africa,2017,20.003564068730373,10.598321611257342
Niger,Sub-Saharan Africa,2019,0.5030902131439158,2.223443173114303
Israel,null region,2020,31.495253921772314,8.835793882606303
Morocco,Middle East and Northern Africa,2017,25.314739040219692,11.862186128717683
Mauritania,Sub-Saharan Africa,2018,28.63806741470963,6.49706379655219
Finland,null region,2020,25.667698383701005,8.69875592090249
Kenya,null region,2020,17.913572431389344,5.978948764514794
Portugal,Western Europe,2021,17.209502555384,0.3735607054693498
Burkina Faso,Sub-Saharan Africa,2021,13.963548971397206,0.4935264323746829
Taiwan,Eastern Asia,2018,66.27772513618217,5.192474548535738
Burundi,Sub-Saharan Africa,2020,0.0,0.5706823699725873
Sri Lanka,Southern Asia,2016,16.86343665733601,6.6953930703788584
United Kingdom,Western Europe,2019,27.921150084726694,6.903632893168598
Algeria,null region,2016,13.873561719771466,4.49260355432081
Latvia,Central and Eastern Europe,2017,59.17678559027659,3.611400186542285
Venezuela,Latin America and Caribbean,2019,16.378246660770447,2.889856756817209
Egypt,null region,2021,24.5210781137022,0.22394056241351462
Kenya,null region,2021,28.800981733425743,8.69008622141893
Kenya,null region,2019,18.11227265062652,6.129621490450901
Taiwan,Eastern Asia,2015,7.695161282523202,0.16408993553449092
Azerbaijan,Central and Eastern Europe,2017,70.48680567482529,8.23899532940716
Lithuania,null region,2017,10.801592037618335,3.540815373331075
United Arab Emirates,Middle East and Northern Africa,2019,18.18535178313557,2.416974604139341
Sweden,Western Europe,2019,32.25229066314689,3.84754696589445
Namibia,Sub-Saharan Africa,2021,26.171938378445855,9.678933456314121
Singapore,Southeastern Asia,2016,61.918658303153876,13.172849880356985
Mexico,Latin America and Caribbean,2016,0.9471695530027614,8.521331083949844
Latvia,Central and Eastern Europe,2016,27.291347427736603,4.718683647709429
Ivory Coast,Sub-Saharan Africa,2019,4.901178862595217,4.808215231726743
Namibia,Sub-Saharan Africa,2020,19.343740348654745,0.20330381823013327
Benin,Sub-Saharan Africa,2020,14.068201651418015,3.724490295251631
Romania,Central and Eastern Europe,2016,27.87788152267613,11.003602186456265
Kenya,null region,2015,17.30241368217842,4.613979614054183
Malawi,Sub-Saharan Africa,2019,3.0240714948062073,3.60981029090166
Senegal,Sub-Saharan Africa,2016,1.035779075646233,0.20230060679829126
Morocco,Middle East and Northern Africa,2019,6.721800333920941,5.186512128892821
Austria,null region,2020,55.76300141580474,8.068188672287546
Bolivia,Latin America and Caribbean,2020,38.547703845363095,10.899584849020052
United Kingdom,Western Europe,2017,26.536223800707045,8.884782552567005
Malta,null region,2018,30.62338846594561,1.231742480112666
Poland,Central and Eastern Europe,2019,43.212776797104226,8.5958920867487
Suriname,Latin America and Caribbean,2015,40.484193180725875,17.648195407652437
Israel,null region,2015,50.29772125607526,8.59841362548923
Gabon,Sub-Saharan Africa,2018,23.86349724151476,6.323187995790554
Liberia,null region,2016,4.013632802110668,0.7671571618971907
Burkina Faso,Sub-Saharan Africa,2019,17.86143228135216,1.002332237164924
Comoros,null region,2021,16.41307958905315,6.755810107614622
Hong Kong S.A.R. of China,East Asia,2021,57.39928642167866,15.115138344099366
Lithuania,null region,2018,51.332873758454994,2.3199895084746585
Congo (Kinshasa),Sub-Saharan Africa,2020,1.7554863197529929,1.1099145741291967
Australia,Australia and New Zealand,2017,49.24767877471028,11.271391382485007
Kuwait,Middle East and Northern Africa,2018,69.63507602412511,0.06391220064707535
Jordan,null region,2019,48.833973953106124,2.89580131260993
